antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
Fish Fillet,Brownie,0.2546875,0.253125,0.2125,0.8343558282208589,3.2962205559342572,0.14803222656249998,4.508912037037035,0.8721804511278195,0.5030674846625766,0.707569572159118,1.0,58.0,0.058823529411764705,0.6581310816052929,0.5907920381618597,0.6379293685722629,"('Fish Fillet',)=>('Brownie',)"
Brownie,Water,0.253125,0.603125,0.2390625,0.9444444444444445,1.5659182498560738,0.086396484375,7.1437500000000105,1.0,0.8333333333333336,0.14874535170775913,1.0,82.0,0.3411764705882353,0.6713039849857634,0.5573876698353446,0.6371290904406377,"('Brownie',)=>('Water',)"
"Burger, Water",Salad,0.15625,0.6140625,0.153125,0.9800000000000001,1.5959287531806619,0.05717773437500001,19.296875000000092,0.5864661654135338,0.9400000000000003,0.1584376442434648,1.0,109.0,0.6588235294117647,0.6547849970847496,0.5946170035865375,0.636734599035286,"('Burger', 'Water')=>('Salad',)"
"Burger, Salad",Water,0.1578125,0.603125,0.153125,0.9702970297029704,1.6087826399220233,0.05794433593750001,13.36145833333337,0.5864661654135338,0.9108910891089111,0.16258897850036244,1.0,109.0,0.6588235294117647,0.6470901573816472,0.6098375443459604,0.6359143734709412,"('Burger', 'Salad')=>('Water',)"
Brownie,Fish Fillet,0.253125,0.2546875,0.2125,0.8395061728395062,3.2962205559342577,0.14803222656249998,4.643870192307695,0.8721804511278195,0.5185185185185187,0.7075695721591182,1.0,58.0,0.058823529411764705,0.6627663917620755,0.5684856037501995,0.6344821553585127,"('Brownie',)=>('Fish Fillet',)"
Fruit Juice,Salad,0.2515625,0.6140625,0.2359375,0.9378881987577639,1.5273497384350354,0.08146240234374999,6.213593749999989,0.9849624060150375,0.8136645962732916,0.13628913625158137,1.0,79.0,0.3058823529411765,0.655752379442008,0.5657149308756901,0.6287411448721126,"('Fruit Juice',)=>('Salad',)"
Chicken Rice,Salad,0.24375,0.6140625,0.2296875,0.9423076923076923,1.5345468780583285,0.080009765625,6.689583333333332,0.9548872180451127,0.8269230769230769,0.13861354853799984,1.0,79.0,0.3058823529411765,0.6542959891145633,0.567478553184914,0.6282507583356685,"('Chicken Rice',)=>('Salad',)"
Burger,"Salad, Water",0.1703125,0.384375,0.153125,0.8990825688073395,2.3390766017751923,0.0876611328125,6.100284090909094,0.5864661654135338,0.6972477064220185,0.3984471591774281,1.0,109.0,0.6588235294117647,0.6419616877448459,0.5859047035482868,0.6251445924858781,"('Burger',)=>('Salad', 'Water')"
Fish Fillet,Water,0.2546875,0.603125,0.2296875,0.9018404907975459,1.495279570234273,0.07607910156249997,4.043164062499995,0.9548872180451127,0.7055214723926377,0.12593164745810273,1.0,86.0,0.38823529411764707,0.6229403266031043,0.532839171499836,0.5959099800721237,"('Fish Fillet',)=>('Water',)"
Burger,Water,0.1703125,0.603125,0.15625,0.9174311926605504,1.5211294386081664,0.0535302734375,4.806597222222218,0.6015037593984962,0.7522935779816512,0.13428020741324304,1.0,89.0,0.4235294117647059,0.571911818303976,0.5376152297232648,0.5616228417297626,"('Burger',)=>('Water',)"
Burger,Salad,0.1703125,0.6140625,0.1578125,0.9266055045871558,1.508975885332773,0.05322998046874999,5.258398437499992,0.6090225563909774,0.7798165137614675,0.1303550551950567,1.0,54.0,0.011764705882352941,0.5395146997936352,0.4806634674922418,0.5218593301032172,"('Burger',)=>('Salad',)"
"Fries, Water",Salad,0.03125,0.6140625,0.03125,1.0,1.628498727735369,0.012060546875000001,999.0,0.0,1.0,0.16895655216881345,1.0,124.0,0.8352941176470589,0.5757685498069092,0.0,0.4030379848648364,"('Fries', 'Water')=>('Salad',)"
"Fries, Salad",Water,0.0359375,0.603125,0.03125,0.8695652173913044,1.4417661635503494,0.0095751953125,3.0427083333333353,0.0,0.6086956521739133,0.10864877863871106,1.0,124.0,0.8352941176470589,0.44330030207655763,0.0,0.31031021145359033,"('Fries', 'Salad')=>('Water',)"
Fries,"Salad, Water",0.0421875,0.384375,0.03125,0.7407407407407407,1.927130382414935,0.0150341796875,2.374553571428571,0.0,0.22222222222222218,0.2654036302557956,1.0,124.0,0.8352941176470589,0.3665469859953215,0.0,0.25658289019672503,"('Fries',)=>('Salad', 'Water')"
Fries,Salad,0.0421875,0.6140625,0.0359375,0.8518518518518517,1.3872396569597587,0.010031738281249997,2.6050781249999986,0.022556390977443594,0.5555555555555552,0.0910387156847489,1.0,69.0,0.18823529411764706,0.36276115319510716,0.0,0.253932807236575,"('Fries',)=>('Salad',)"
Fries,Water,0.0421875,0.603125,0.03125,0.7407407407407407,1.2281711763577048,0.005805664062499997,1.530803571428571,0.0,0.22222222222222218,0.03966542712206907,1.0,104.0,0.6,0.2865830234471839,0.0,0.20060811641302873,"('Fries',)=>('Water',)"
Sisig Rice,Water,0.05625,0.603125,0.0375,0.6666666666666666,1.1053540587219344,0.0035742187499999967,1.1906249999999998,0.030075187969924803,0.0,0.0,0.0,102.0,0.5764705882352941,0.06366209641751437,0.12193495031773126,0.08114395258757942,"('Sisig Rice',)=>('Water',)"
Water,Salad,0.6225,0.63,0.4125,0.6626506024096385,1.0518263530311722,0.020324999999999926,1.096785714285714,1.0,0.02285002077274589,0.0,0.0,75.0,0.25882352941176473,0.0,0.23273735917300026,0.06982120775190008,"('Water',)=>('Salad',)"
Salad,Water,0.63,0.6225,0.4125,0.6547619047619048,1.0518263530311722,0.020324999999999926,1.0934482758620687,1.0,0.0,0.0,0.0,75.0,0.25882352941176473,0.0,0.22588235294117648,0.06776470588235294,"('Salad',)=>('Water',)"
Cheese Stick,Water,0.0484375,0.603125,0.0328125,0.6774193548387097,1.1231823499916431,0.0035986328124999988,1.2303125000000001,0.0075187969924812095,0.03225806451612933,0.00575788458223588,0.0,96.0,0.5058823529411764,0.06320888519301165,0.0,0.04424621963510816,"('Cheese Stick',)=>('Water',)"
