antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
Donut,Coffee,0.196875,0.1875,0.16875,0.8571428571428572,4.571428571428572,0.1318359375,5.687500000000003,0.6911764705882354,0.6666666666666667,0.8684210526315792,0.0,84.0,0.12121212121212122,0.567461769396754,0.567461769396754,0.5674617693967539,"('Donut',)=>('Coffee',)"
Burger,Nachos,0.25625,0.25,0.221875,0.8658536585365854,3.4634146341463414,0.1578125,5.590909090909091,0.9411764705882353,0.6869918699186991,0.5813944159178435,0.0,89.0,0.19696969696969696,0.5593784287696874,0.5593784287696874,0.5593784287696874,"('Burger',)=>('Nachos',)"
"Donut, Water",Coffee,0.028125,0.1875,0.025,0.888888888888889,4.740740740740741,0.019726562500000003,7.312500000000004,0.01470588235294119,0.7407407407407408,0.9122807017543861,0.0,142.0,1.0,0.553233574131407,0.553233574131407,0.553233574131407,"('Donut', 'Water')=>('Coffee',)"
Fries,Milk Tea,0.278125,0.25,0.234375,0.8426966292134831,3.3707865168539324,0.16484375,4.7678571428571415,1.0,0.6329588014981271,0.5573994677705499,0.0,87.0,0.16666666666666666,0.5459041740587424,0.5459041740587424,0.5459041740587424,"('Fries',)=>('Milk Tea',)"
Hotdog,Soda,0.246875,0.46875,0.23125,0.9367088607594937,1.99831223628692,0.11552734375000001,8.393749999999999,0.9852941176470589,0.8523206751054851,0.20186542305129915,0.0,97.0,0.3181818181818182,0.535039563642064,0.535039563642064,0.535039563642064,"('Hotdog',)=>('Soda',)"
Cheese Stick,Fries,0.26875,0.278125,0.234375,0.872093023255814,3.135615364515286,0.15962890624999998,5.64375,1.0,0.7015503875968991,0.49647930906440385,0.0,76.0,0.0,0.5345849435451707,0.5345849435451707,0.5345849435451706,"('Cheese Stick',)=>('Fries',)"
Iced Tea,Lumpia,0.19375,0.175,0.153125,0.7903225806451614,4.516129032258065,0.11921875000000001,3.9346153846153857,0.6176470588235294,0.5107526881720431,0.8540959252971139,0.0,99.0,0.3484848484848485,0.5251276843890822,0.5251276843890822,0.5251276843890822,"('Iced Tea',)=>('Lumpia',)"
Burger,Soda,0.25625,0.46875,0.234375,0.9146341463414634,1.9512195121951221,0.11425781250000001,6.223214285714288,1.0,0.8008130081300814,0.18966623876765087,0.0,96.0,0.30303030303030304,0.5179634924339674,0.5179634924339674,0.5179634924339674,"('Burger',)=>('Soda',)"
Fries,Cheese Stick,0.278125,0.26875,0.234375,0.8426966292134831,3.135615364515286,0.15962890624999998,4.648660714285713,1.0,0.6329588014981271,0.49647930906440385,0.0,76.0,0.0,0.5140074677155391,0.5140074677155391,0.5140074677155391,"('Fries',)=>('Cheese Stick',)"
Nachos,Soda,0.25,0.46875,0.234375,0.9375,2.0,0.1171875,8.5,1.0,0.8541666666666666,0.20230263157894737,0.0,79.0,0.045454545454545456,0.5113711124401913,0.5113711124401913,0.5113711124401913,"('Nachos',)=>('Soda',)"
"Donut, Fries",Coffee,0.025,0.1875,0.021875,0.8749999999999999,4.666666666666666,0.017187499999999998,6.499999999999995,0.0,0.708333333333333,0.8930921052631579,0.0,122.0,0.696969696969697,0.5054699960127591,0.5054699960127591,0.5054699960127591,"('Donut', 'Fries')=>('Coffee',)"
"Coffee, Fries",Donut,0.025,0.196875,0.021875,0.8749999999999999,4.444444444444444,0.016953125,6.4249999999999945,0.0,0.708333333333333,0.8355263157894736,0.0,122.0,0.696969696969697,0.491078548644338,0.491078548644338,0.491078548644338,"('Coffee', 'Fries')=>('Donut',)"
Salad,Soda,0.04375,0.46875,0.025,0.5714285714285715,1.2190476190476192,0.004492187500000001,1.2395833333333335,0.01470588235294119,0.0,0.0,0.0,108.0,0.48484848484848486,0.05142602495543673,0.05142602495543673,0.05142602495543673,"('Salad',)=>('Soda',)"
